Date,Open,High,Low,Close,Adj Close,Volume
9/29/2005,432.588074,436.787964,407.388763,432.588074,304.904572,76180670
9/30/2005,457.787384,457.787384,432.588074,457.787384,322.666016,105493978
10/3/2005,470.387024,474.586914,440.987854,470.387024,331.546692,59712955
10/4/2005,474.586914,482.986694,466.187164,474.586914,334.506927,56236668
10/5/2005,482.986694,482.986694,466.187164,482.986694,340.427429,31319315
10/6/2005,466.187164,482.986694,461.987274,466.187164,328.586487,8107366
10/7/2005,470.387024,470.387024,457.787384,470.387024,331.546692,6577562
10/10/2005,466.187164,470.387024,457.787384,466.187164,328.586487,23223854
10/11/2005,466.187164,466.187164,461.987274,466.187164,328.586487,13497395
10/12/2005,470.387024,474.586914,466.187164,470.387024,331.546692,29804392
10/13/2005,474.586914,474.586914,470.387024,474.586914,334.506927,12738446
10/14/2005,474.586914,474.586914,470.387024,474.586914,334.506927,12018188
10/17/2005,474.586914,474.586914,474.586914,474.586914,334.506927,0
10/18/2005,470.387024,474.586914,470.387024,470.387024,331.546692,12110452
10/19/2005,461.987274,470.387024,461.987274,461.987274,325.626251,5631107
10/20/2005,461.987274,461.987274,461.987274,461.987274,325.626251,0
10/21/2005,461.987274,461.987274,461.987274,461.987274,325.626251,3038774
10/24/2005,449.387604,461.987274,445.187744,449.387604,316.745544,10875299
10/25/2005,449.387604,449.387604,449.387604,449.387604,316.745544,0
10/26/2005,453.587494,457.787384,449.387604,453.587494,319.70575,14298013
10/27/2005,440.987854,457.787384,440.987854,440.987854,310.825012,16018298
10/28/2005,428.388184,436.787964,428.388184,428.388184,301.944336,15390305
10/31/2005,432.588074,432.588074,424.188324,432.588074,304.904572,25104858
11/1/2005,428.388184,432.588074,428.388184,428.388184,301.944336,35012869
11/7/2005,428.388184,428.388184,428.388184,428.388184,301.944336,0
11/8/2005,428.388184,428.388184,428.388184,428.388184,301.944336,0
11/9/2005,428.388184,428.388184,428.388184,428.388184,301.944336,0
11/10/2005,419.988434,432.588074,419.988434,419.988434,296.023834,25747733
11/11/2005,411.588654,424.188324,411.588654,411.588654,290.103363,12366412
11/14/2005,411.588654,415.788544,407.388763,411.588654,290.103363,7637115
11/15/2005,403.188873,415.788544,403.188873,403.188873,284.182861,33515804
11/16/2005,407.388763,407.388763,398.989014,407.388763,287.143127,22512525
11/17/2005,403.188873,407.388763,398.989014,403.188873,284.182861,9684790
11/18/2005,407.388763,411.588654,407.388763,407.388763,287.143127,41161848
11/21/2005,419.988434,419.988434,411.588654,419.988434,296.023834,80606388
11/22/2005,436.787964,436.787964,419.988434,436.787964,307.864838,94172238
11/23/2005,436.787964,440.987854,432.588074,436.787964,307.864838,68745942
11/24/2005,436.787964,440.987854,432.588074,436.787964,307.864838,13425965
11/25/2005,428.388184,440.987854,428.388184,428.388184,301.944336,19682090
11/28/2005,432.588074,432.588074,428.388184,432.588074,304.904572,3297709
11/29/2005,457.787384,457.787384,432.588074,457.787384,322.666016,105038609
11/30/2005,478.786804,478.786804,453.587494,478.786804,337.467163,67989968
12/1/2005,487.186584,495.586334,478.786804,487.186584,343.387695,83731474
12/2/2005,491.386444,495.586334,482.986694,491.386444,346.347931,42402954
12/5/2005,487.186584,491.386444,482.986694,487.186584,343.387695,22283352
12/6/2005,491.386444,503.986115,487.186584,491.386444,346.347931,61745749
12/7/2005,482.986694,495.586334,482.986694,482.986694,340.427429,23655413
12/8/2005,482.986694,495.586334,482.986694,482.986694,340.427429,24497698
12/9/2005,524.985535,529.185425,487.186584,524.985535,370.029816,114910904
12/12/2005,608.983215,642.582275,533.385315,608.983215,429.234528,157772205
12/13/2005,608.983215,629.982666,592.183655,608.983215,429.234528,117589550
12/14/2005,566.984375,608.983215,566.984375,566.984375,399.632202,106342216
12/15/2005,545.984924,566.984375,541.785095,545.984924,384.830994,60043321
12/16/2005,537.585205,562.784485,537.585205,537.585205,378.910553,42575578
12/19/2005,571.184265,571.184265,545.984924,571.184265,402.592377,41027916
12/20/2005,571.184265,592.183655,566.984375,571.184265,402.592377,55814038
12/21/2005,554.384705,566.984375,545.984924,554.384705,390.751465,52132389
12/22/2005,554.384705,558.584595,550.184814,550.184814,387.79126,6074572
12/23/2005,562.784485,571.184265,558.584595,562.784485,396.671967,27188249
12/26/2005,562.784485,562.784485,562.784485,562.784485,396.671967,0
12/27/2005,579.584045,583.783936,571.184265,579.584045,408.512878,13196792
12/28/2005,587.983765,600.583435,587.983765,596.383545,420.353851,42399978
12/29/2005,604.783325,617.382996,600.583435,600.583435,423.314026,46965580
12/30/2005,600.583435,600.583435,600.583435,600.583435,423.314026,0
1/2/2006,604.783325,608.983215,600.583435,604.783325,426.274353,6229338
1/3/2006,608.983215,608.983215,587.983765,592.183655,417.393646,33712238
1/4/2006,608.983215,621.582886,604.783325,621.582886,438.115234,57733733
1/5/2006,625.782776,655.181946,625.782776,650.982056,458.836914,78502163
1/6/2006,646.782166,667.781616,642.582275,667.781616,470.677887,60879653
1/9/2006,671.981506,722.380066,671.981506,713.980347,503.24054,70356105
1/10/2006,713.980347,713.980347,713.980347,713.980347,503.24054,0
1/11/2006,713.980347,722.380066,692.980896,701.380676,494.359894,50685920
1/12/2006,709.780457,768.578796,709.780457,760.179077,535.803101,88547083
1/13/2006,755.979187,806.377747,747.579407,764.378906,538.763428,59326039
1/16/2006,806.377747,823.177307,760.179077,785.378357,553.564514,34792625
1/17/2006,797.978027,802.177917,755.979187,760.179077,535.803101,35358117
1/18/2006,747.579407,760.179077,713.980347,713.980347,503.24054,59832006
1/19/2006,730.779846,751.779297,726.579956,751.779297,529.882751,31795519
1/20/2006,764.378906,781.178467,755.979187,760.179077,535.803101,34006889
1/23/2006,730.779846,760.179077,730.779846,739.179626,521.001953,17065946
1/24/2006,747.579407,755.979187,739.179626,743.379517,523.962158,10300879
1/25/2006,743.379517,755.979187,730.779846,743.379517,523.962158,34605120
1/26/2006,747.579407,751.779297,726.579956,739.179626,521.001953,18119546
1/27/2006,739.179626,743.379517,701.380676,705.580566,497.320068,44882189
1/30/2006,718.180176,718.180176,705.580566,718.180176,506.200775,19899357
1/31/2006,718.180176,718.180176,718.180176,718.180176,506.200775,0
2/1/2006,722.380066,734.979736,722.380066,730.779846,515.081482,54218756
2/2/2006,734.979736,764.378906,734.979736,764.378906,538.763428,60201063
2/3/2006,764.378906,768.578796,751.779297,764.378906,538.763428,30521674
2/6/2006,760.179077,764.378906,747.579407,751.779297,529.882751,12137239
2/7/2006,751.779297,776.978577,751.779297,768.578796,541.723572,41507096
2/8/2006,760.179077,760.179077,722.380066,726.579956,512.121216,79674814
2/9/2006,734.979736,743.379517,730.779846,739.179626,521.001953,27735883
2/10/2006,743.379517,747.579407,739.179626,743.379517,523.962158,19976741
2/13/2006,734.979736,734.979736,722.380066,726.579956,512.121216,23932207
2/14/2006,713.980347,722.380066,705.580566,709.780457,500.280273,33724143
2/15/2006,713.980347,722.380066,709.780457,718.180176,506.200775,16384380
2/16/2006,718.180176,718.180176,692.980896,697.180786,491.399536,15262325
2/17/2006,701.380676,709.780457,646.782166,650.982056,458.836914,90053077
2/20/2006,655.181946,663.581726,642.582275,642.582275,452.916504,47653098
2/21/2006,646.782166,655.181946,629.982666,642.582275,452.916504,44376222
2/22/2006,646.782166,663.581726,642.582275,655.181946,461.79718,59236751
2/23/2006,659.381836,680.381226,659.381836,671.981506,473.638245,61260616
2/24/2006,671.981506,676.181335,659.381836,671.981506,473.638245,18655276
2/27/2006,671.981506,684.581116,671.981506,684.581116,482.518829,29997850
2/28/2006,688.781006,688.781006,671.981506,676.181335,476.598297,39382037
3/1/2006,676.181335,684.581116,671.981506,680.381226,479.558655,22235731
3/2/2006,688.781006,722.380066,688.781006,722.380066,509.16095,125113567
3/3/2006,726.579956,743.379517,722.380066,739.179626,521.001953,79636123
3/6/2006,680.381226,684.581116,671.981506,680.381226,479.558655,22235731
3/7/2006,734.979736,734.979736,709.780457,713.980347,503.24054,48159065
3/8/2006,713.980347,713.980347,692.980896,701.380676,494.359894,53430043
3/9/2006,692.980896,713.980347,688.781006,713.980347,503.24054,27128723
3/10/2006,713.980347,726.579956,709.780457,722.380066,509.16095,34170584
3/13/2006,722.380066,722.380066,709.780457,722.380066,509.16095,5217405
3/14/2006,722.380066,722.380066,709.780457,713.980347,503.24054,8940722
3/15/2006,713.980347,726.579956,709.780457,713.980347,503.24054,17339763
3/16/2006,730.779846,730.779846,718.180176,730.779846,515.081482,21063080
3/17/2006,730.779846,734.979736,718.180176,722.380066,509.16095,35658720
3/20/2006,726.579956,730.779846,722.380066,726.579956,512.121216,22521454
3/21/2006,726.579956,726.579956,718.180176,722.380066,509.16095,21768457
3/22/2006,730.779846,739.179626,718.180176,730.779846,515.081482,62683275
